2022-12-10 13:24:02,155 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:24:04,158 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:24:04,158 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:24:06,161 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:24:06,161 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:24:08,166 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:24:08,166 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:37:14,055 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-12-10 13:37:14,055 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-12-10 13:37:14,055 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-12-10 13:37:16,176 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-12-10 13:37:16,371 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
